"birthYMD","butcheryYmd","month","animalNo","gradeNm","qgrade","wgrade","weight","windex","Name"
"2014-04-23","2016-07-25",27.0904109589041,"002091866465","1++A","1++","A",475,71,"Jung"
"2014-02-21","2016-09-28",31.2328767123288,"002307931740","1+B","1+","B",434,64,"Jung"
"2014-07-29","2016-12-23",28.8657534246575,"002093604147","1+A","1+","A",429,67,"Jung"
"2014-09-24","2016-12-23",26.9917808219178,"002092496611","1+B","1+","B",400,63,"Jung"
"2013-08-09","2016-03-07",30.9369863013699,"002085311877","1++B","1++","B",332,66,"Jung"
"2012-03-29","2016-09-28",54.0493150684932,"002076386751","2B","2","B",357,65,"Jung"
"2012-05-21","2016-11-01",53.4246575342466,"002079054270","3A","3","A",354,70,"Jung"
"2012-04-12","2016-11-01",54.7068493150685,"002079048613","3C","3","C",375,59,"Jung"
"2012-03-12","2016-12-23",57.4356164383562,"002076387633","3B","3","B",451,64,"Jung"
"2012-04-24","2016-12-23",56.0219178082192,"002079050805","2B","2","B",440,64,"Jung"
"2013-07-23","2016-01-05",29.4575342465753,"002086936301","1++A","1++","A",530,67,"Jung"
"2013-07-13","2016-01-05",29.786301369863,"002306038744","1B","1","B",496,63,"Jung"
"2013-07-17","2016-01-05",29.6547945205479,"002086443801","1++C","1++","C",515,62,"Jung"
"2013-07-30","2016-01-05",29.227397260274,"002306043050","1+B","1+","B",478,63,"Jung"
"2013-08-02","2016-01-05",29.1287671232877,"002307384105","1C","1","C",551,60,"Jung"
"2013-07-05","2016-01-05",30.0493150684932,"002306037721","1C","1","C",507,63,"Jung"
"2013-07-23","2016-01-05",29.4575342465753,"002085435427","1+B","1+","B",463,64,"Jung"
"2013-08-16","2016-01-05",28.6684931506849,"002087045826","1+B","1+","B",359,66,"Jung"
"2013-11-17","2016-04-06",28.6356164383562,"002087044690","2B","2","B",221,65,"Jung"
"2013-10-02","2016-04-06",30.1479452054795,"002088715917","2B","2","B",223,65,"Jung"
"2013-11-18","2016-04-06",28.6027397260274,"002087038431","3A","3","A",205,69,"Jung"
"2013-12-03","2016-04-06",28.1095890410959,"002088810883","3A","3","A",210,69,"Jung"
"2013-12-08","2016-04-06",27.9452054794521,"002088705000","2B","2","B",436,66,"Jung"
"2013-11-28","2016-04-06",28.2739726027397,"002088810490","1+B","1+","B",365,64,"Jung"
"2013-11-20","2016-04-06",28.5369863013699,"002088809045","1+C","1+","C",390,61,"Jung"
"2013-12-27","2016-04-06",27.3205479452055,"002089771706","1++B","1++","B",378,66,"Jung"
"2014-04-09","2016-12-09",32.0547945205479,"002308204637","2C","2","C",433,61,"Jung"
"2014-06-21","2016-12-09",29.6547945205479,"002092499040","1+B","1+","B",480,65,"Jung"
"2014-05-25","2016-12-09",30.5424657534247,"002309647776","1B","1","B",445,64,"Jung"
"2014-05-19","2016-12-09",30.7397260273973,"002309653192","1+B","1+","B",462,63,"Jung"
"2014-07-24","2016-12-09",28.5698630136986,"002093765617","1B","1","B",463,63,"Jung"
"2014-07-20","2016-12-09",28.7013698630137,"002093808098","1+C","1+","C",510,63,"Jung"
